method,task,policy_id,checkpoint,checkpoint_sha256,checkpoint_bytes
APPL_6_xhigh,buffer_swap,transfer_blue__h03,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/transfer_blue__h03/training/last.pt,f7a68c796a84f5f109ecb70962e2144ce4f115366744661d01a03ee6a97eab4c,369698741
APPL_6_xhigh,buffer_swap,finish_red__h01,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h01/training/last.pt,a78d935452d12012d69e4d5ed60296b324dba5054d5bd424d84f86e3a75dca39,372491105
APPL_6_xhigh,buffer_swap,finish_red__h02,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h02/training/last.pt,39f62116093148ab7ada42cf669a39a3a561a21f3aa4fec91ddcbc2298266da6,367068133
APPL_6_xhigh,buffer_swap,finish_red__h03,runs/exp2/current/models/APPL_6_xhigh/buffer_swap/finish_red__h03/training/last.pt,bcf0555945368fc1041b245161df2d5377cb0952bcc7b58a52cc8bf313da2917,372747449
naive_DP,unstack_sort,naive_DP,runs/exp2/current/models/naive_DP/unstack_sort/naive_DP/training/last.pt,98215b169a5246928dc4f0993aa1dc8fdcd2e7164d6d884cd7fb3fd0753fbd8d,340239430
SinglePrior_6_xhigh,unstack_sort,SinglePrior_6_xhigh,runs/exp2/current/models/SinglePrior_6_xhigh/unstack_sort/SinglePrior_6_xhigh/training/last.pt,5ca6fe98888c23de7611156737579ccd2af95ea5a880789274a7c5d93470f640,390077829
APPL_6_xhigh,unstack_sort,acquire_lift__h01,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h01/training/last.pt,cad1310b3a0b294a884f98166d3d20dd6c8f0930b84734785893fda83e1003f5,378025813
APPL_6_xhigh,unstack_sort,acquire_lift__h02,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h02/training/last.pt,d6482f05f8e7c4e2eb59e62dbcef721710782831442d895b8fc83e5f4df38bd6,374276473
APPL_6_xhigh,unstack_sort,acquire_lift__h03,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/acquire_lift__h03/training/last.pt,2534fa3360b20e3db35c6e17e3fe66122eb699d95ea556c97b651d3182920194,377418881
APPL_6_xhigh,unstack_sort,carry_place_clear__h01,runs/exp2/current/models/APPL_6_xhigh/unstack_sort/carry_place_clear__h01/training/last.pt,539efdd9421300f3e538b9bf8daf3942a0837be0682afef0476ef60a120319a9,379868109
