task,condition,seed,owner,physical_gpu,steps,inference_chunks,actual_process,process_sha256,actual_exit,exit_sha256,physical_plan,plan_sha256
drawer_exchange,ID,6310,original,7,5000,625,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/ID/6310/process.json,c171d0f7e011e9810250fc2f2569cea3b80dc2e0e02e8a5f969da8d6aea2c2b9,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/ID/6310/process_result.json,d003984b653dcebb59e34696cae5b9a23b6cf325f1dc6d3fdd698b1113204f8f,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6310/plan.json,8f7ccc2d2cf9b919cc1ee287b4dd29468534f7d41d03afd107e97a253669fb77
drawer_exchange,ID,6311,original,7,1024,128,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/ID/6311/process.json,5083bb6a35ac38919a591bb37b7ac034affdf304de994177d387b60d44d4e92b,runs/exp2/single_policy_astra_xhigh/jobs/evaluation/drawer_exchange/ID/6311/process_result.json,f4299093dab57399c4e5e94211a070d613339ac30fa22ad28167d6a2c9a49f0c,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6311/plan.json,fba10fbbf66303fd8b96c2326f0bdf56ebd294afca4f4a14420c72dfdb44cdf9
drawer_exchange,ID,6312,tail,0,985,124,runs/exp2/single_policy_astra_xhigh/evaluation_tail/jobs/drawer_exchange/ID/6312/process.json,fd03b44a99f1e2dc4cb24c768bfc901dd12359aa07434ec8cbcd77ee4302db7e,runs/exp2/single_policy_astra_xhigh/evaluation_tail/jobs/drawer_exchange/ID/6312/process_result.json,1df1f0a76db730346e1e2d097e337ee0c728624540b7a55d22ed852d6b5c33db,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6312/plan.json,31194caa8c1bfd421738222b44ff2315ddf6f3b8756ebd3eff6de52bc86ec9a3
drawer_exchange,ID,6313,tail,7,1211,152,runs/exp2/single_policy_astra_xhigh/evaluation_tail/jobs/drawer_exchange/ID/6313/process.json,94046801973881ee0c8141efc12426124f243a57b07d723acfedefe552565d72,runs/exp2/single_policy_astra_xhigh/evaluation_tail/jobs/drawer_exchange/ID/6313/process_result.json,e20cb854b95cdac08d6b5800a753225df8fff299a5af6ba9911c9f48fc6da4ad,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6313/plan.json,772e9abd5ea9bc525c05a3cc83d821a798706ea2dc6a12242872bbceff7e340d
drawer_exchange,ID,6314,tail,0,1054,132,runs/exp2/single_policy_astra_xhigh/evaluation_tail/jobs/drawer_exchange/ID/6314/process.json,3a8ee93c8d1461cb53888a1d1af328510c61392d23b44b0fb5494608a9e23445,runs/exp2/single_policy_astra_xhigh/evaluation_tail/jobs/drawer_exchange/ID/6314/process_result.json,9ddab6aee82622d81634118822c9f687da454ef3c1485c305284b9428c4e447b,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6314/plan.json,f41b5939c4f8c49b954d5a5cd12f07b6c3e6d7066f53d0f4c81f99d83ffd7709
drawer_exchange,ID,6315,supplement,4,5000,625,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6315/process.json,f3ced44dd0d82511539652bc90e4dec212549a97e5e49aacecee96003e61145b,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6315/process_result.json,10792d7dd9525e3c86fe6375ab829cab0e0aa47713ceddf01fdf0e8523d5acf8,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6315/plan.json,d86ef22381a617786d034053995e4b26c1f4fbe3e31eb90ebc91bfec24a4cb09
drawer_exchange,ID,6316,supplement,6,984,123,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6316/process.json,30fb09f348e9235d661bd5071ddc894314102bbd0b3e3a5067fc63e8bbe6cf17,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/6/drawer_exchange/ID/6316/process_result.json,f0d81aacde586b45c80508dd2e3445416e4465376d43d52ff7ce7525aab02905,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6316/plan.json,9a66144e3dc59e2266d6af5a9c7bac401fac10e90579857e74435191e6ca8150
drawer_exchange,ID,6317,supplement,4,5000,625,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6317/process.json,4125df71321059ee2580c1ca6da72f236dc24f5aebe114175d3aedbbf145e70e,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6317/process_result.json,1d21a906513ea1d1c00eb27a3eacd9e4adcb56c6f6984ce71ade802205fcae8b,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6317/plan.json,cba89f38ebf2aee24ca69f74926bf843f836a0565c3156839b101de1f233e3b2
drawer_exchange,ID,6318,supplement,4,979,123,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6318/process.json,3147409d02aca3077b6dca936e81ac1f823e6ff4b40a69f36d12d5f4d4157c1a,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6318/process_result.json,67298fb76c04d3c71100e687d50b990400f303dd005c9c524d3630208c5e1408,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6318/plan.json,48c47849b838a99659879baef37a9705f2bffe6a2fa5df3c366461a127f4fe28
drawer_exchange,ID,6319,supplement,4,5000,625,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6319/process.json,213990a302ea8c6b377c817af47edd2711ada093c98e407748ef159ce5a98d7f,runs/exp2/single_policy_astra_xhigh/evaluation_supplement/jobs/evaluate/4/drawer_exchange/ID/6319/process_result.json,3946ed0a7ada38522b452a8efeb2bed3c2861e3a0ecb417c6e252c411c7265fb,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6319/plan.json,f67c56a92915abb50d70799d7f980b7ff0bdb64e7ac4c0caf4d7aff0d0670db2
