method,models,formal_updates,minimum_model_parameters,maximum_model_parameters,total_portfolio_parameters,sum_model_training_wall_seconds,API_interface_checks,confirmed_API_check_updates,API_check_update_upper_bound,timing_scope
naive_DP,5,300000,16998408,16998408,84992040,9684.788328561117,0,0,0,Includes resource sharing; not exclusive GPU-hours or FLOPs. Includes reused models.
SinglePrior_6_xhigh,5,300000,19038112,20020712,97429741,12349.922202411923,5,10,10,Includes resource sharing; not exclusive GPU-hours or FLOPs. Includes reused models.
APPL_5_5_high,51,1020000,17840944,19605446,946399284,45689.800956951396,56,102,112,Includes resource sharing; not exclusive GPU-hours or FLOPs. Includes reused models.
APPL_6_xhigh,36,720000,4505681,20186659,675793787,51697.13003693288,45,80,90,Includes resource sharing; not exclusive GPU-hours or FLOPs. Includes reused models.
