task,condition,method,seed,success,physical_steps,elapsed_seconds,inference_chunks,inference_seconds,policy_invocations,source
drawer_exchange,ID,APPL_5_5_high,6306,True,990,454.96499283600133,,,8,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6306/result.json
drawer_exchange,ID,APPL_5_5_high,6307,True,1014,435.7812292929739,,,8,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6307/result.json
drawer_exchange,ID,APPL_5_5_high,6308,True,969,396.92972360900603,,,6,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6308/result.json
drawer_exchange,ID,APPL_5_5_high,6309,True,953,383.6452471149969,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6309/result.json
drawer_exchange,ID,APPL_5_5_high,6310,True,997,385.95856969297165,,,8,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6310/result.json
drawer_exchange,ID,APPL_5_5_high,6311,True,1056,420.87439684104174,,,9,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6311/result.json
drawer_exchange,ID,APPL_5_5_high,6312,True,1505,686.6734744689893,,,15,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6312/result.json
drawer_exchange,ID,APPL_5_5_high,6313,True,1026,381.91645779600367,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6313/result.json
drawer_exchange,ID,APPL_5_5_high,6314,True,1191,476.68596142495517,,,11,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6314/result.json
drawer_exchange,ID,APPL_5_5_high,6315,True,967,417.5926646190346,,,9,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6315/result.json
drawer_exchange,ID,APPL_5_5_high,6316,True,1094,451.42880614398746,,,9,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6316/result.json
drawer_exchange,ID,APPL_5_5_high,6317,True,989,373.0551324649714,,,6,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6317/result.json
drawer_exchange,ID,APPL_5_5_high,6318,True,946,378.7865809360519,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6318/result.json
drawer_exchange,ID,APPL_5_5_high,6319,True,982,375.95347278600093,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6319/result.json
drawer_exchange,ID,APPL_5_5_high,6320,False,2270,872.3641797470045,,,16,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6320/result.json
drawer_exchange,ID,APPL_5_5_high,6321,True,955,403.7404855809873,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6321/result.json
drawer_exchange,ID,APPL_5_5_high,6322,True,1008,403.9425510810106,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6322/result.json
drawer_exchange,ID,APPL_5_5_high,6323,True,1100,414.80025187303545,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6323/result.json
drawer_exchange,ID,APPL_5_5_high,6324,True,1021,374.96280833199853,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6324/result.json
drawer_exchange,ID,APPL_5_5_high,6325,True,3275,970.2486888780259,,,20,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6325/result.json
drawer_exchange,ID,APPL_5_5_high,6326,True,1063,382.64089010097086,,,6,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6326/result.json
drawer_exchange,ID,APPL_5_5_high,6327,True,1024,370.73776279302547,,,8,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6327/result.json
drawer_exchange,ID,APPL_5_5_high,6328,True,1033,343.903674717003,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6328/result.json
drawer_exchange,ID,APPL_5_5_high,6329,True,1107,396.4558331879671,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6329/result.json
drawer_exchange,ID,APPL_6_xhigh,6300,False,1008,385.05893122497946,,,8,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6300/result.json
drawer_exchange,ID,APPL_6_xhigh,6301,True,937,264.22346405900316,,,5,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6301/result.json
drawer_exchange,ID,APPL_6_xhigh,6302,False,1069,527.5349421739811,,,11,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6302/result.json
drawer_exchange,ID,APPL_6_xhigh,6303,False,932,444.7464679169934,,,11,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6303/result.json
drawer_exchange,ID,APPL_6_xhigh,6304,False,966,544.9110435270122,,,11,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6304/result.json
drawer_exchange,ID,APPL_6_xhigh,6305,True,965,277.5738066720078,,,5,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6305/result.json
drawer_exchange,ID,APPL_6_xhigh,6306,True,1007,305.3017049540067,,,6,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6306/result.json
drawer_exchange,ID,APPL_6_xhigh,6307,False,868,382.2487497049733,,,7,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6307/result.json
drawer_exchange,ID,APPL_6_xhigh,6308,False,928,351.1583370710141,,,6,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6308/result.json
drawer_exchange,ID,APPL_6_xhigh,6309,False,1011,414.11449492303655,,,8,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6309/result.json
drawer_exchange,ID,APPL_6_xhigh,6310,False,1262,876.4284240260022,,,13,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6310/result.json
drawer_exchange,ID,APPL_6_xhigh,6311,False,788,459.73856204899494,,,10,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6311/result.json
drawer_exchange,ID,APPL_6_xhigh,6312,False,978,398.5554870800115,,,8,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6312/result.json
drawer_exchange,ID,APPL_6_xhigh,6313,True,1016,274.96893759898376,,,5,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6313/result.json
drawer_exchange,ID,APPL_6_xhigh,6314,False,1431,664.3669685160276,,,16,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6314/result.json
drawer_exchange,ID,APPL_6_xhigh,6315,False,886,426.1940542299999,,,8,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6315/result.json
drawer_exchange,ID,APPL_6_xhigh,6316,False,756,339.0342669439269,,,7,runs/exp2/M1_astra_xhigh/evaluation_recovery_20260918/drawer_exchange/evaluation/APPL/ID/6316/result.json
drawer_exchange,ID,APPL_6_xhigh,6317,False,1127,552.8704030429944,,,13,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6317/result.json
drawer_exchange,ID,APPL_6_xhigh,6318,False,717,317.08087402797537,,,6,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6318/result.json
drawer_exchange,ID,APPL_6_xhigh,6319,True,999,282.2935520540341,,,5,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6319/result.json
drawer_exchange,ID,APPL_6_xhigh,6320,True,995,288.40342915902147,,,5,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6320/result.json
drawer_exchange,ID,APPL_6_xhigh,6321,False,1174,707.1346744439797,,,12,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6321/result.json
drawer_exchange,ID,APPL_6_xhigh,6322,False,971,431.6416171810124,,,8,runs/exp2/M1_astra_xhigh/evaluation_recovery_20260918/drawer_exchange/evaluation/APPL/ID/6322/result.json
drawer_exchange,ID,APPL_6_xhigh,6323,False,1008,431.57691856706515,,,9,runs/exp2/M1_astra_xhigh/evaluation_recovery_20260918/drawer_exchange/evaluation/APPL/ID/6323/result.json
