run_id,selected_step,yaw_primary,test_iid,test_position,test_yaw_near,test_yaw_mid,test_yaw_far,test_combined
r2_drawer_world_n20_s0,20000,0.0,1.0,0.65,0.0,0.0,0.0,0.0
r2_drawer_frame_n20_s0,20000,0.8166666666666667,1.0,1.0,1.0,0.95,0.5,0.6
r2_door_world_n20_s0,20000,0.45,1.0,1.0,1.0,0.35,0.0,0.0
r2_door_frame_n20_s0,20000,0.8,1.0,1.0,1.0,0.9,0.5,0.5
